UID,Week,Season
1A12DE7,3/7/16,L2016
1A12DE8,10/24/16,S2016
1A12DE10,3/21/16,L2016
1A12DE11,2/22/16,L2016
1A12DE12,10/31/16,S2016
1A12DE13,4/4/16,L2016
1A12DE14,3/14/16,L2016
1A12DE15,9/5/16,S2016
1A12DE18,9/5/16,S2016
1A12DE19,2/29/16,L2016
1A12DE20,4/11/16,L2016
1A12DE21,3/28/16,L2016
1A12DE23,10/3/16,S2016
1A12DE24,9/12/16,S2016
1A12DE25,10/31/16,S2016
1A12DE27,4/11/16,L2016
1A12DE31,10/24/16,S2016
1A12DE34,10/10/16,S2016
1A12DE35,3/28/16,L2016
1A12DE36,5/23/16,L2016
1A12DE37,8/29/16,S2016
1A12DE39,11/14/16,S2016
1A12DE40,3/28/16,L2016
1A12DE41,2/6/17,L2017
1A12DE42,3/14/16,L2016
1A12DE43,3/28/16,L2016
1A12DE44,3/14/16,L2016
1A12DE45,9/12/16,S2016
1A12DE47,10/10/16,S2016
1A12DE51,9/19/16,S2016
1A12DE52,10/10/16,S2016
1A12DE53,10/10/16,S2016
1A12DE54,10/17/16,S2016
1A12DE56,10/10/16,S2016
1A12DE57,9/19/16,S2016
1A12DE58,9/19/16,S2016
1A12DE60,3/21/16,L2016
1A12DE62,10/3/16,S2016
1A12DE63,9/12/16,S2016
1A12DE65,10/3/16,S2016
1A12DE66,3/28/16,L2016
1A12DE67,10/24/16,S2016
1A12DE69,9/5/16,S2016
1A12DE70,3/7/16,L2016
1A12DE73,9/5/16,S2016
1A12DE75,11/7/16,S2016
1A12DE76,10/17/16,S2016
1A12DE78,10/10/16,S2016
1A12DE79,1/30/17,L2017
1A12DE81,5/2/16,L2016
1A12DE82,10/3/16,S2016
1A12DE84,10/10/16,S2016
1A12DE87,10/3/16,S2016
1A12DE88,2/22/16,L2016
1A12DE89,5/16/16,L2016
1A12DE92,9/19/16,S2016
1A12DE93,3/28/16,L2016
1A12DE94,3/7/16,L2016
1A12DE95,9/5/16,S2016
1A12DE96,10/24/16,S2016
1A12DE97,2/22/16,L2016
1A12DE98,9/26/16,S2016
1A12DE99,4/4/16,L2016
1A12DE100,10/10/16,S2016
1A12DE101,2/29/16,L2016
1A12DE102,9/19/16,S2016
1A12DE103,9/26/16,S2016
1A12DE106,9/12/16,S2016
1A12DE107,3/28/16,L2016
1A12DE108,3/21/16,L2016
1A12DE110,8/22/16,S2016
1A12DE111,2/22/16,L2016
1A12DE112,10/24/16,S2016
1A12DE114,10/3/16,S2016
1A12DE115,4/4/16,L2016
1A12DE116,9/26/16,S2016
1A12DE120,10/10/16,S2016
1A12DE122,10/3/16,S2016
1A12DE124,9/19/16,S2016
1A12DE127,6/20/16,L2016
1A12DE128,3/14/16,L2016
1A12DE129,3/21/16,L2016
1A12DE130,11/21/16,S2016
1A12DE131,3/14/16,L2016
1A12DE134,9/19/16,S2016
1A12DE137,9/12/16,S2016
1A12DE138,9/19/16,S2016
1A12DE139,2/29/16,L2016
1A12DE141,2/22/16,L2016
1A12DE142,11/14/16,S2016
1A12DE144,10/31/16,S2016
1A12DE145,10/10/16,S2016
1A12DE146,8/22/16,S2016
1A12DE149,5/23/16,L2016
1A12DE152,11/7/16,S2016
1A12DE155,3/14/16,L2016
1A12DE156,6/6/16,L2016
1A12DE159,10/10/16,S2016
1A12DE160,9/5/16,S2016
1A12DE161,10/17/16,S2016
1A12DE162,9/19/16,S2016
1A12DE163,10/10/16,S2016
1A12DE164,10/31/16,S2016
1A12DE165,1/23/17,L2017
1A12DE167,9/5/16,S2016
1A12DE168,4/18/16,L2016
1A12DE171,10/24/16,S2016
1A12DE172,9/19/16,S2016
1A12DE173,10/31/16,S2016
1A12DE175,4/25/16,L2016
1A12DE177,11/21/16,S2016
1A12DE178,9/12/16,S2016
1A12DE179,4/4/16,L2016
1A12DE181,10/10/16,S2016
1A12DE182,9/26/16,S2016
1A12DE183,3/21/16,L2016
1A12DE184,11/14/16,S2016
1A12DE188,10/10/16,S2016
1A12DE189,3/7/16,L2016
1A12DE190,3/28/16,L2016
1A12DE192,9/5/16,S2016
1A12DE194,4/25/16,L2016
1A12DE195,3/14/16,L2016
1A12DE196,6/6/16,L2016
1A12DE199,9/26/16,S2016
1A12DE200,3/21/16,L2016
1A12DE204,5/16/16,L2016
1A12DE205,4/18/16,L2016
1A12DE206,5/9/16,L2016
1A12DE207,9/12/16,S2016
1A12DE208,10/17/16,S2016
1A12DE209,11/7/16,S2016
1A12DE210,4/25/16,L2016
1A12DE212,9/26/16,S2016
1A12DE213,2/22/16,L2016
1A12DE214,3/7/16,L2016
1A12DE215,11/21/16,S2016
1A12DE218,3/28/16,L2016
1A12DE220,8/8/16,S2016
1A12DE221,10/10/16,S2016
1A12DE224,6/27/16,L2016
1A12DE225,4/4/16,L2016
1A12DE226,9/12/16,S2016
1A12DE227,9/19/16,S2016
1A12DE230,5/9/16,L2016
1A12DE231,5/9/16,L2016
1A12DE232,3/14/16,L2016
1A12DE233,9/12/16,S2016
1A12DE234,9/12/16,S2016
1A12DE235,5/30/16,L2016
1A12DE236,9/26/16,S2016
1A12DE237,6/13/16,L2016
1A12DE240,11/7/16,S2016
1A12DE241,3/28/16,L2016
1A12DE245,4/18/16,L2016
1A12DE246,10/10/16,S2016
1A12DE248,3/14/16,L2016
1A12DE249,2/22/16,L2016
1A12DE250,10/31/16,S2016
1A12DE252,3/21/16,L2016
1A12DE253,3/21/16,L2016
1A12DE254,11/14/16,S2016
1A12DE255,2/22/16,L2016
1A12DE256,9/19/16,S2016
1A12DE260,6/13/16,L2016
1A12DE261,10/3/16,S2016
1A12DE263,10/10/16,S2016
1A12DE265,10/17/16,S2016
1A12DE266,9/5/16,S2016
1A12DE267,2/22/16,L2016
1A12DE268,10/31/16,S2016
1A12DE269,4/4/16,L2016
1A12DE270,9/26/16,S2016
1A12DE271,10/3/16,S2016
1A12DE273,10/31/16,S2016
1A12DE274,10/31/16,S2016
1A12DE277,3/7/16,L2016
