UID,0,1,2,3,4,5,6,7,8,9,10
1A12DE5,,,,,,,,,,,
1A12DE6,,,,,,,,,,,
1A12DE7,2016 W10,2016 W13,,,,,,,,,
1A12DE8,2016 W43,,,,,,,,,,
1A12DE9,,,,,,,,,,,
1A12DE10,2016 W12,2016 W15,,,,,,,,,
1A12DE11,2016 W08,2016 W19,2016 W20,2016 W21,2016 W22,2016 W23,2016 W24,,,,
1A12DE12,2016 W44,,,,,,,,,,
1A12DE13,2016 W14,2016 W37,,,,,,,,,
1A12DE14,2016 W11,2016 W13,2016 W14,2016 W15,2016 W35,2016 W38,,,,,
1A12DE15,2016 W36,2016 W37,2016 W38,,,,,,,,
1A12DE16,,,,,,,,,,,
1A12DE17,,,,,,,,,,,
1A12DE18,2016 W36,2016 W37,,,,,,,,,
1A12DE19,2016 W09,2016 W14,,,,,,,,,
1A12DE20,2016 W15,2016 W40,2016 W41,,,,,,,,
1A12DE21,2016 W13,2016 W37,,,,,,,,,
1A12DE22,,,,,,,,,,,
1A12DE23,2016 W40,2016 W41,2016 W44,,,,,,,,
1A12DE24,2016 W37,2016 W39,,,,,,,,,
1A12DE25,2016 W44,,,,,,,,,,
1A12DE26,,,,,,,,,,,
1A12DE27,2016 W15,2016 W38,2016 W39,,,,,,,,
1A12DE28,,,,,,,,,,,
1A12DE29,,,,,,,,,,,
1A12DE30,,,,,,,,,,,
1A12DE31,2016 W43,,,,,,,,,,
1A12DE32,,,,,,,,,,,
1A12DE33,,,,,,,,,,,
1A12DE34,2016 W41,,,,,,,,,,
1A12DE35,2016 W13,2016 W39,,,,,,,,,
1A12DE36,2016 W21,,,,,,,,,,
1A12DE37,2016 W35,2016 W39,,,,,,,,,
1A12DE38,,,,,,,,,,,
1A12DE39,2016 W46,,,,,,,,,,
1A12DE40,2016 W13,,,,,,,,,,
1A12DE41,2017 W06,2017 W13,,,,,,,,,
1A12DE42,2016 W11,2016 W38,,,,,,,,,
1A12DE43,2016 W13,2016 W14,2016 W15,,,,,,,,
1A12DE44,2016 W11,,,,,,,,,,
1A12DE45,2016 W37,2016 W40,,,,,,,,,
1A12DE46,,,,,,,,,,,
1A12DE47,2016 W41,2016 W45,,,,,,,,,
1A12DE48,,,,,,,,,,,
1A12DE49,,,,,,,,,,,
1A12DE50,,,,,,,,,,,
1A12DE51,2016 W38,,,,,,,,,,
1A12DE52,2016 W41,,,,,,,,,,
1A12DE53,2016 W41,,,,,,,,,,
1A12DE54,2016 W42,2016 W43,,,,,,,,,
1A12DE55,,,,,,,,,,,
1A12DE56,2016 W41,,,,,,,,,,
1A12DE57,2016 W38,2016 W39,2016 W40,2016 W41,,,,,,,
1A12DE58,2016 W38,,,,,,,,,,
1A12DE59,,,,,,,,,,,
1A12DE60,2016 W12,2016 W34,2016 W35,,,,,,,,
1A12DE61,,,,,,,,,,,
1A12DE62,2016 W40,,,,,,,,,,
1A12DE63,2016 W37,2016 W43,2016 W44,,,,,,,,
1A12DE64,,,,,,,,,,,
1A12DE65,2016 W40,,,,,,,,,,
1A12DE66,2016 W13,2016 W36,2016 W37,2016 W39,,,,,,,
1A12DE67,2016 W43,,,,,,,,,,
1A12DE68,,,,,,,,,,,
1A12DE69,2016 W36,,,,,,,,,,
1A12DE70,2016 W10,2016 W12,2016 W38,,,,,,,,
1A12DE71,,,,,,,,,,,
1A12DE72,,,,,,,,,,,
1A12DE73,2016 W36,2016 W40,,,,,,,,,
1A12DE74,,,,,,,,,,,
1A12DE75,2016 W45,,,,,,,,,,
1A12DE76,2016 W42,2016 W44,,,,,,,,,
1A12DE77,,,,,,,,,,,
