UID,Week,Season
1A12DE700,4/3/17,L2017
1A12DE701,3/28/16,L2016
1A12DE702,10/31/16,S2016
1A12DE703,5/9/16,L2016
1A12DE705,3/27/17,L2017
1A12DE706,3/28/16,L2016
1A12DE708,11/21/16,S2016
1A12DE709,11/7/16,S2016
1A12DE710,11/14/16,S2016
1A12DE711,3/27/17,L2017
1A12DE712,4/18/16,L2016
1A12DE713,5/1/17,L2017
1A12DE714,4/10/17,L2017
1A12DE715,4/25/16,L2016
1A12DE716,5/2/16,L2016
1A12DE718,10/17/16,S2016
1A12DE719,5/8/17,L2017
1A12DE720,3/20/17,L2017
1A12DE721,4/10/17,L2017
1A12DE723,4/4/16,L2016
1A12DE724,4/10/17,L2017
1A12DE725,4/11/16,L2016
1A12DE726,4/24/17,L2017
1A12DE728,5/1/17,L2017
1A12DE729,4/17/17,L2017
1A12DE730,4/17/17,L2017
1A12DE731,5/1/17,L2017
1A12DE732,4/3/17,L2017
1A12DE733,4/11/16,L2016
1A12DE734,11/21/16,S2016
1A12DE735,11/7/16,S2016
1A12DE736,4/11/16,L2016
1A12DE737,10/24/16,S2016
1A12DE738,10/17/16,S2016
1A12DE739,3/27/17,L2017
1A12DE740,4/3/17,L2017
1A12DE741,10/3/16,S2016
1A12DE742,4/10/17,L2017
1A12DE743,3/27/17,L2017
1A12DE744,4/3/17,L2017
1A12DE745,5/2/16,L2016
1A12DE746,4/18/16,L2016
1A12DE747,5/1/17,L2017
1A12DE748,10/24/16,S2016
1A12DE749,4/4/16,L2016
1A12DE750,10/3/16,S2016
1A12DE751,4/17/17,L2017
1A12DE752,5/1/17,L2017
1A12DE753,3/27/17,L2017
1A12DE754,4/24/17,L2017
1A12DE755,10/17/16,S2016
1A12DE757,3/20/17,L2017
1A12DE758,5/1/17,L2017
1A12DE759,3/28/16,L2016
1A12DE760,3/20/17,L2017
1A12DE10,6/6/16,L2016
1A12DE100,4/10/17,L2017
1A12DE101,4/11/16,L2016
1A12DE102,11/14/16,S2016
1A12DE103,4/25/16,L2016
1A12DE105,10/31/16,S2016
1A12DE106,4/18/16,L2016
1A12DE107,4/4/16,L2016
1A12DE108,5/2/16,L2016
1A12DE109,4/25/16,L2016
1A12DE11,10/24/16,S2016
1A12DE110,4/11/16,L2016
1A12DE111,4/18/16,L2016
1A12DE112,3/27/17,L2017
1A12DE113,4/3/17,L2017
1A12DE114,4/17/17,L2017
1A12DE115,4/11/16,L2016
1A12DE116,4/3/17,L2017
1A12DE117,5/9/16,L2016
1A12DE118,4/17/17,L2017
1A12DE119,3/13/17,L2017
1A12DE12,3/13/17,L2017
1A12DE120,11/14/16,S2016
1A12DE121,10/17/16,S2016
1A12DE122,10/31/16,S2016
1A12DE123,3/28/16,L2016
1A12DE124,4/11/16,L2016
1A12DE125,10/31/16,S2016
1A12DE126,4/25/16,L2016
1A12DE127,10/24/16,S2016
1A12DE128,4/11/16,L2016
1A12DE128,4/11/16,L2016
